智能内部卡号,显示内容,显示次数
10000001,a1,1
10000002,a2,1
10000003,a3,1
10000004,a4,1
10000005,a5,1
10000006,a6,1
10000007,a7,1
10000008,a8,1
10000009,a9,1
10000010,a10,1
10000011,a11,1
10000012,a12,1
10000013,a13,1
10000014,a14,1
10000015,a15,1
10000016,a16,1
10000017,a17,1
10000018,a18,1
10000019,a19,1
10000020,a20,1
10000021,a21,1
10000022,a22,1
10000023,a23,1
10000024,a24,1
10000025,a25,1
10000026,a26,1
10000027,a27,1
10000028,a28,1
10000029,a29,1
10000030,a30,1
10000031,a31,1
10000032,a32,1
10000033,a33,1
10000034,a34,1
10000035,a35,1
10000036,a36,1
10000037,a37,1
10000038,a38,1
10000039,a39,1
10000040,a40,1
10000041,a41,1
10000042,a42,1
10000043,a43,1
10000044,a44,1
10000045,a45,1
10000046,a46,1
10000047,a47,1
10000048,a48,1
10000049,a49,1
10000050,a50,1
10000051,a51,1
10000052,a52,1
10000053,a53,1
10000054,a54,1
10000055,a55,1
10000056,a56,1
10000057,a57,1
10000058,a58,1
10000059,a59,1
10000060,a60,1
10000061,a61,1
10000062,a62,1
10000063,a63,1
10000064,a64,1
10000065,a65,1
10000066,a66,1
10000067,a67,1
10000068,a68,1
10000069,a69,1
10000070,a70,1
10000071,a71,1
10000072,a72,1
10000073,a73,1
10000074,a74,1
10000075,a75,1
10000076,a76,1
10000077,a77,1
10000078,a78,1
10000079,a79,1
10000080,a80,1
10000081,a81,1
10000082,a82,1
10000083,a83,1
10000084,a84,1
10000085,a85,1
10000086,a86,1
10000087,a87,1
10000088,a88,1
10000089,a89,1
10000090,a90,1
10000091,a91,1
10000092,a92,1
10000093,a93,1
10000094,a94,1
10000095,a95,1
10000096,a96,1
10000097,a97,1
10000098,a98,1
10000099,a99,1
10000100,a100,1
10000101,a101,1
10000102,a102,1
10000103,a103,1
10000104,a104,1
10000105,a105,1
10000106,a106,1
10000107,a107,1
10000108,a108,1
10000109,a109,1
10000110,a110,1
10000111,a111,1
10000112,a112,1
10000113,a113,1
10000114,a114,1
10000115,a115,1
10000116,a116,1
10000117,a117,1
10000118,a118,1
10000119,a119,1
10000120,a120,1
10000121,a121,1
10000122,a122,1
10000123,a123,1
10000124,a124,1
10000125,a125,1
10000126,a126,1
10000127,a127,1
10000128,a128,1
10000129,a129,1
10000130,a130,1
10000131,a131,1
10000132,a132,1
10000133,a133,1
10000134,a134,1
10000135,a135,1
10000136,a136,1
10000137,a137,1
10000138,a138,1
10000139,a139,1
10000140,a140,1
10000141,a141,1
10000142,a142,1
10000143,a143,1
10000144,a144,1
10000145,a145,1
10000146,a146,1
10000147,a147,1
10000148,a148,1
10000149,a149,1
10000150,a150,1
10000151,a151,1
10000152,a152,1
10000153,a153,1
10000154,a154,1
10000155,a155,1
10000156,a156,1
10000157,a157,1
10000158,a158,1
10000159,a159,1
10000160,a160,1
10000161,a161,1
10000162,a162,1
10000163,a163,1
10000164,a164,1
10000165,a165,1
10000166,a166,1
10000167,a167,1
10000168,a168,1
10000169,a169,1
10000170,a170,1
10000171,a171,1
10000172,a172,1
10000173,a173,1
10000174,a174,1
10000175,a175,1
10000176,a176,1
10000177,a177,1
10000178,a178,1
10000179,a179,1
10000180,a180,1
10000181,a181,1
10000182,a182,1
10000183,a183,1
10000184,a184,1
10000185,a185,1
10000186,a186,1
10000187,a187,1
10000188,a188,1
10000189,a189,1
10000190,a190,1
10000191,a191,1
10000192,a192,1
10000193,a193,1
10000194,a194,1
10000195,a195,1
10000196,a196,1
10000197,a197,1
10000198,a198,1
10000199,a199,1
10000200,a200,1
10000201,a201,1
10000202,a202,1
10000203,a203,1
10000204,a204,1
10000205,a205,1
10000206,a206,1
10000207,a207,1
10000208,a208,1
10000209,a209,1
10000210,a210,1
10000211,a211,1
10000212,a212,1
10000213,a213,1
10000214,a214,1
10000215,a215,1
10000216,a216,1
10000217,a217,1
10000218,a218,1
10000219,a219,1
10000220,a220,1
10000221,a221,1
10000222,a222,1
10000223,a223,1
10000224,a224,1
10000225,a225,1
10000226,a226,1
10000227,a227,1
10000228,a228,1
10000229,a229,1
10000230,a230,1
10000231,a231,1
10000232,a232,1
10000233,a233,1
10000234,a234,1
10000235,a235,1
10000236,a236,1
10000237,a237,1
10000238,a238,1
10000239,a239,1
10000240,a240,1
10000241,a241,1
10000242,a242,1
10000243,a243,1
10000244,a244,1
10000245,a245,1
10000246,a246,1
10000247,a247,1
10000248,a248,1
10000249,a249,1
10000250,a250,1
10000251,a251,1
10000252,a252,1
10000253,a253,1
10000254,a254,1
10000255,a255,1
10000256,a256,1
10000257,a257,1
10000258,a258,1
10000259,a259,1
10000260,a260,1
10000261,a261,1
10000262,a262,1
10000263,a263,1
10000264,a264,1
10000265,a265,1
10000266,a266,1
10000267,a267,1
10000268,a268,1
10000269,a269,1
10000270,a270,1
10000271,a271,1
10000272,a272,1
10000273,a273,1
10000274,a274,1
10000275,a275,1
10000276,a276,1
10000277,a277,1
10000278,a278,1
10000279,a279,1
10000280,a280,1
10000281,a281,1
10000282,a282,1
10000283,a283,1
10000284,a284,1
10000285,a285,1
10000286,a286,1
10000287,a287,1
10000288,a288,1
10000289,a289,1
10000290,a290,1
10000291,a291,1
10000292,a292,1
10000293,a293,1
10000294,a294,1
10000295,a295,1
10000296,a296,1
10000297,a297,1
10000298,a298,1
10000299,a299,1
10000300,a300,1
10000301,a301,1
10000302,a302,1
10000303,a303,1
10000304,a304,1
10000305,a305,1
10000306,a306,1
10000307,a307,1
10000308,a308,1
10000309,a309,1
10000310,a310,1
10000311,a311,1
10000312,a312,1
10000313,a313,1
10000314,a314,1
10000315,a315,1
10000316,a316,1
10000317,a317,1
10000318,a318,1
10000319,a319,1
10000320,a320,1
10000321,a321,1
10000322,a322,1
10000323,a323,1
10000324,a324,1
10000325,a325,1
10000326,a326,1
10000327,a327,1
10000328,a328,1
10000329,a329,1
10000330,a330,1
10000331,a331,1
10000332,a332,1
10000333,a333,1
10000334,a334,1
10000335,a335,1
10000336,a336,1
10000337,a337,1
10000338,a338,1
10000339,a339,1
10000340,a340,1
10000341,a341,1
10000342,a342,1
10000343,a343,1
10000344,a344,1
10000345,a345,1
10000346,a346,1
10000347,a347,1
10000348,a348,1
10000349,a349,1
10000350,a350,1
10000351,a351,1
10000352,a352,1
10000353,a353,1
10000354,a354,1
10000355,a355,1
10000356,a356,1
10000357,a357,1
10000358,a358,1
10000359,a359,1
10000360,a360,1
10000361,a361,1
10000362,a362,1
10000363,a363,1
10000364,a364,1
10000365,a365,1
10000366,a366,1
10000367,a367,1
10000368,a368,1
10000369,a369,1
10000370,a370,1
10000371,a371,1
10000372,a372,1
10000373,a373,1
10000374,a374,1
10000375,a375,1
10000376,a376,1
10000377,a377,1
10000378,a378,1
10000379,a379,1
10000380,a380,1
10000381,a381,1
10000382,a382,1
10000383,a383,1
10000384,a384,1
10000385,a385,1
10000386,a386,1
10000387,a387,1
10000388,a388,1
10000389,a389,1
10000390,a390,1
10000391,a391,1
10000392,a392,1
10000393,a393,1
10000394,a394,1
10000395,a395,1
10000396,a396,1
10000397,a397,1
10000398,a398,1
10000399,a399,1
10000400,a400,1
10000401,a401,1
10000402,a402,1
10000403,a403,1
10000404,a404,1
10000405,a405,1
10000406,a406,1
10000407,a407,1
10000408,a408,1
10000409,a409,1
10000410,a410,1
10000411,a411,1
10000412,a412,1
10000413,a413,1
10000414,a414,1
10000415,a415,1
10000416,a416,1
10000417,a417,1
10000418,a418,1
10000419,a419,1
10000420,a420,1
10000421,a421,1
10000422,a422,1
10000423,a423,1
10000424,a424,1
10000425,a425,1
10000426,a426,1
10000427,a427,1
10000428,a428,1
10000429,a429,1
10000430,a430,1
10000431,a431,1
10000432,a432,1
10000433,a433,1
10000434,a434,1
10000435,a435,1
10000436,a436,1
10000437,a437,1
10000438,a438,1
10000439,a439,1
10000440,a440,1
10000441,a441,1
10000442,a442,1
10000443,a443,1
10000444,a444,1
10000445,a445,1
10000446,a446,1
10000447,a447,1
10000448,a448,1
10000449,a449,1
10000450,a450,1
10000451,a451,1
10000452,a452,1
10000453,a453,1
10000454,a454,1
10000455,a455,1
10000456,a456,1
10000457,a457,1
10000458,a458,1
10000459,a459,1
10000460,a460,1
10000461,a461,1
10000462,a462,1
10000463,a463,1
10000464,a464,1
10000465,a465,1
10000466,a466,1
10000467,a467,1
10000468,a468,1
10000469,a469,1
10000470,a470,1
10000471,a471,1
10000472,a472,1
10000473,a473,1
10000474,a474,1
10000475,a475,1
10000476,a476,1
10000477,a477,1
10000478,a478,1
10000479,a479,1
10000480,a480,1
10000481,a481,1
10000482,a482,1
10000483,a483,1
10000484,a484,1
10000485,a485,1
10000486,a486,1
10000487,a487,1
10000488,a488,1
10000489,a489,1
10000490,a490,1
10000491,a491,1
10000492,a492,1
10000493,a493,1
10000494,a494,1
10000495,a495,1
10000496,a496,1
10000497,a497,1
10000498,a498,1
10000499,a499,1
10000500,a500,1
10000501,a501,1
10000502,a502,1
10000503,a503,1
10000504,a504,1
10000505,a505,1
10000506,a506,1
